COUNTRY,Primary,Secondary,Advanced,Total
United States,47,9213,5559,14819
Germany,0,510,3747,4257
Italy,149,1729,2212,4090
France,0,651,2971,3622
Brazil,35,2649,136,2820
Mexico,22,2518,0,2540
China,2,2484,0,2486
Spain,31,1111,976,2118
Canada,0,1529,535,2064
United Kingdom,2,1762,123,1887
Poland,43,1083,542,1668
Russia,0,1270,0,1270
Australia,0,680,554,1234
South Africa,0,964,0,964
India,206,608,2,816
Switzerland,0,276,482,758
Hungary,9,96,644,749
Czech Republic,2,574,87,663
Austria,0,7,627,634
Romania,62,448,43,553
Portugal,3,310,187,500
Malaysia,0,484,0,484
Sweden,0,0,437,437
Netherlands,0,4,413,417
Belgium,1,211,198,410
Denmark,1,23,359,383
Japan,0,7,371,378
Belarus,0,348,0,348
Norway,39,111,180,330
Slovakia,4,178,140,322
Turkey,0,319,1,320
New Zealand,49,165,103,317
Ukraine,0,312,0,312
Peru,0,184,0,184
Ireland,3,65,98,166
Finland,0,1,162,163
Greece,0,5,153,158
Argentina,0,143,0,143
Iran,0,134,0,134
Egypt,0,132,0,132
Algeria,0,116,0,116
Bulgaria,6,18,86,110
Slovenia,1,54,34,89
Latvia,0,48,41,89
South Korea,0,0,87,87
Taiwan,0,2,81,83
Croatia,43,33,7,83
Lithuania,0,15,59,74
Iraq,0,73,0,73
Estonia,0,13,55,68
Colombia,0,63,0,63
Saudi Arabia,0,5,53,58
Philippines,0,51,0,51
Moldova,0,47,0,47
Chile,0,8,38,46
France (Martinique),0,35,10,45
Thailand,0,44,0,44
Zimbabwe,0,42,0,42
Kazakhstan,0,40,0,40
Indonesia,2,36,0,38
French Guiana,0,16,21,37
Israel,0,0,37,37
Luxembourg,0,16,19,35
Uzbekistan,0,35,0,35
United Arab Emirates,0,1,33,34
Jordan,0,30,0,30
Hong Kong,0,1,29,30
Tunisia,0,30,0,30
Morocco,0,26,1,27
Ecuador,0,26,0,26
Cuba,0,26,0,26
Bolivia,0,26,0,26
Pakistan,1,24,0,25
Kenya,0,24,0,24
Venezuela,0,23,0,23
Uruguay,0,2,20,22
Costa Rica,0,21,0,21
Palestina,0,21,0,21
France (Guadeloupe),0,9,10,19
Oman,0,6,12,18
Namibia,0,18,0,18
Uganda,17,0,0,17
Cyprus,0,3,14,17
Bangladesh,0,16,0,16
Lesotho,0,15,0,15
Bosnia and Herzegovina,0,12,1,13
Serbia,0,13,0,13
Jamaica,0,13,0,13
Kyrgyzstan,0,13,0,13
Zambia,0,13,0,13
Sri Lanka,0,13,0,13
Syria,13,0,0,13
New Caledonia,0,8,4,12
Dominican Republic,0,12,0,12
Vietnam,0,11,0,11
Iceland,5,3,3,11
Tanzania,10,0,0,10
Haiti,10,0,0,10
Libya,0,10,0,10
Ghana,0,10,0,10
Côte d'Ivoire,0,10,0,10
Paraguay,0,9,0,9
Senegal,0,9,0,9
Nepal,8,0,0,8
Guatemala,0,8,0,8
Azerbaijan,0,8,0,8
Panama,0,0,8,8
North Korea,8,0,0,8
Angola,0,8,0,8
Qatar,0,0,7,7
Nicaragua,0,7,0,7
Cambodia,0,7,0,7
Kuwait,0,0,7,7
Kosovo,0,6,0,6
Cameroon,0,6,0,6
Honduras,0,6,0,6
El Salvador,0,6,0,6
Albania,0,6,0,6
Tajikistan,5,0,0,5
Trinidad and Tobago,0,0,5,5
Georgia,0,5,0,5
Botswana,0,5,0,5
Afghanistan,5,0,0,5
Armenia,0,5,0,5
Macao,0,1,4,5
Singapore,0,1,3,4
Malta,0,4,0,4
Cabo Verde,0,4,0,4
Ethiopia,4,0,0,4
Maldives,0,4,0,4
Togo,3,0,0,3
Turkmenistan,0,3,0,3
Swaziland,0,3,0,3
Mali,3,0,0,3
Mozambique,3,0,0,3
Macedonia,0,3,0,3
Montenegro,0,3,0,3
Nigeria,0,3,0,3
Niger,3,0,0,3
Democratic Republic of the Congo,3,0,0,3
Aruba,0,3,0,3
Bahamas,0,1,2,3
France (Mayotte),0,0,3,3
Rwanda,3,0,0,3
Saint Lucia,0,3,0,3
Lebanon,0,3,0,3
Saint-Martin,0,1,1,2
Papua New Guinea,0,2,0,2
Brunei,0,0,2,2
Belize,0,2,0,2
Bahrain,0,0,2,2
Fiji,0,2,0,2
Chad,2,0,0,2
Burundi,2,0,0,2
Bhutan,0,2,0,2
Northern Mariana Islands,0,0,2,2
Yemen,2,0,0,2
Tonga,0,2,0,2
Sudan,0,2,0,2
Guinea,2,0,0,2
Laos,0,2,0,2
Myanmar,0,2,0,2
New Zealand (Cook Islands),0,1,1,2
Saint Kitts and Nevis,0,0,2,2
Mauritius,0,2,0,2
Madagascar,2,0,0,2
Mongolia,0,2,0,2
American Samoa,0,1,0,1
Antigua and Barbuda,0,1,0,1
Barbados,0,0,1,1
British Virgin Islands,0,0,1,1
Burkina Faso,1,0,0,1
Finland (Aland),0,0,1,1
Equatorial Guinea,0,1,0,1
Curaçao,0,0,1,1
Marshall Islands,0,1,0,1
Liberia,1,0,0,1
French Polynesia,0,0,1,1
Gabon,0,1,0,1
Gambia,1,0,0,1
Netherlands (Sint Maarten),0,0,1,1
Micronesia,0,1,0,1
Monaco,0,1,0,1
Palau,0,0,1,1
Seychelles,0,0,1,1
Sierra Leone,1,0,0,1
South Sudan,1,0,0,1
United Kingdom (Montserrat),0,0,1,1
